,mean,sd,hdi_3%,hdi_97%
beta_24[tox21-car-antagonist-p1],-0.231,0.05,-0.343,-0.151
beta_24[tox21-are-bla-p1],-0.233,0.047,-0.334,-0.153
beta_24[tox21-dt40-p1_657],-0.228,0.045,-0.316,-0.139
beta_24[tox21-rar-antagonist-p2],-0.235,0.047,-0.342,-0.153
beta_24[tox21-dt40-p1_100],-0.235,0.047,-0.331,-0.151
beta_24[tox21-dt40-p1_653],-0.238,0.046,-0.335,-0.158
beta_24[tox21-gr-hela-bla-antagonist-p1],-0.23,0.048,-0.342,-0.152
beta_24[tox21-ppard-bla-antagonist-p1],-0.235,0.048,-0.339,-0.154
beta_24[tox21-er-luc-bg1-4e2-antagonist-p1],-0.229,0.049,-0.325,-0.139
beta_25[tox21-elg1-luc-agonist-p1],0.41,0.057,0.321,0.535
beta_25[tox21-ar-bla-antagonist-p1],0.431,0.06,0.337,0.554
beta_25[tox21-rt-viability-hek293-p1],0.411,0.046,0.325,0.5
beta_25[tox21-shh-3t3-gli3-agonist-p1],0.358,0.064,0.23,0.454
beta_25[tox21-ppard-bla-agonist-p1],0.385,0.058,0.265,0.508
beta_25[tox21-ar-mda-kb2-luc-agonist-p3],0.399,0.049,0.299,0.499
beta_25[tox21-er-bla-antagonist-p1],0.409,0.055,0.321,0.526
beta_25[tox21-p53-bla-p1],0.41,0.043,0.329,0.483
beta_25[tox21-car-agonist-p1],0.375,0.062,0.235,0.473
beta_25[tox21-erb-bla-antagonist-p1],0.423,0.061,0.334,0.563
beta_25[tox21-ar-mda-kb2-luc-antagonist-p1],0.38,0.047,0.283,0.468
beta_25[tox21-pparg-bla-antagonist-p1],0.425,0.068,0.336,0.597
beta_25[tox21-ap1-agonist-p1],0.39,0.049,0.291,0.486
beta_25[tox21-hre-bla-agonist-p1],0.405,0.048,0.316,0.509
beta_25[tox21-pgc-err-p1],0.42,0.053,0.335,0.531
beta_25[tox21-nfkb-bla-agonist-p1],0.401,0.043,0.328,0.49
beta_25[tox21-pr-bla-agonist-p1],0.434,0.062,0.328,0.552
beta_25[tox21-ar-mda-kb2-luc-antagonist-p2],0.386,0.055,0.261,0.477
beta_25[tox21-fxr-bla-agonist-p2],0.408,0.05,0.32,0.515
beta_25[tox21-mitotox-p1],0.396,0.057,0.283,0.506
beta_25[tox21-ror-cho-antagonist-p1],0.395,0.046,0.315,0.487
beta_25[tox21-gh3-tre-antagonist-p1],0.405,0.042,0.317,0.478
beta_25[tox21-vdr-bla-agonist-p1],0.407,0.049,0.323,0.514
beta_25[tox21-sbe-bla-antagonist-p1],0.397,0.058,0.273,0.508
beta_25[tox21-aromatase-p1],0.399,0.056,0.311,0.537
beta_25[tox21-h2ax-cho-p2],0.416,0.046,0.339,0.514
beta_25[tox21-erb-bla-p1],0.419,0.058,0.322,0.546
beta_25[tox21-shh-3t3-gli3-antagonist-p1],0.376,0.045,0.288,0.457
beta_25[tox21-rxr-bla-agonist-p1],0.403,0.049,0.321,0.509
beta_25[tox21-pr-bla-antagonist-p1],0.425,0.053,0.333,0.522
beta_25[tox21-ahr-p1],0.395,0.045,0.315,0.481
beta_25[tox21-rt-viability-hepg2-p1],0.39,0.046,0.31,0.488
beta_25[tox21-er-luc-bg1-4e2-antagonist-p2],0.373,0.051,0.281,0.464
beta_25[tox21-esre-bla-p1],0.419,0.064,0.315,0.556
beta_25[tox21-err-p1],0.413,0.058,0.323,0.548
beta_25[tox21-hse-bla-p1],0.401,0.044,0.32,0.48
beta_25[tox21-vdr-bla-antagonist-p1],0.409,0.042,0.337,0.494
beta_25[tox21-sbe-bla-agonist-p1],0.384,0.046,0.3,0.47
beta_25[tox21-fxr-bla-antagonist-p1],0.411,0.045,0.334,0.497
beta_25[tox21-hdac-p1],0.345,0.073,0.18,0.448
beta_25[tox21-er-luc-bg1-4e2-agonist-p4],0.388,0.045,0.301,0.475
beta_25[tox21-car-antagonist-p1],0.385,0.046,0.296,0.47
beta_25[tox21-are-bla-p1],0.431,0.059,0.336,0.556
beta_25[tox21-dt40-p1_657],0.347,0.066,0.212,0.451
beta_25[tox21-rar-antagonist-p2],0.389,0.052,0.284,0.485
beta_25[tox21-dt40-p1_100],0.387,0.051,0.281,0.48
beta_25[tox21-dt40-p1_653],0.395,0.045,0.311,0.481
beta_25[tox21-gr-hela-bla-antagonist-p1],0.396,0.045,0.304,0.484
beta_25[tox21-ppard-bla-antagonist-p1],0.397,0.05,0.309,0.498
beta_25[tox21-er-luc-bg1-4e2-antagonist-p1],0.382,0.044,0.3,0.469
beta_26[tox21-elg1-luc-agonist-p1],0.408,0.056,0.319,0.522
beta_26[tox21-ar-bla-antagonist-p1],0.41,0.057,0.316,0.52
beta_26[tox21-rt-viability-hek293-p1],0.409,0.063,0.299,0.526
beta_26[tox21-shh-3t3-gli3-agonist-p1],0.407,0.059,0.299,0.516
beta_26[tox21-ppard-bla-agonist-p1],0.401,0.06,0.303,0.517
beta_26[tox21-ar-mda-kb2-luc-agonist-p3],0.412,0.056,0.316,0.525
beta_26[tox21-er-bla-antagonist-p1],0.406,0.062,0.297,0.519
beta_26[tox21-p53-bla-p1],0.414,0.062,0.313,0.535
beta_26[tox21-car-agonist-p1],0.403,0.06,0.3,0.517
beta_26[tox21-erb-bla-antagonist-p1],0.391,0.061,0.292,0.511
beta_26[tox21-ar-mda-kb2-luc-antagonist-p1],0.401,0.057,0.305,0.511
beta_26[tox21-pparg-bla-antagonist-p1],0.41,0.063,0.305,0.533
beta_26[tox21-ap1-agonist-p1],0.395,0.059,0.299,0.512
beta_26[tox21-hre-bla-agonist-p1],0.408,0.058,0.311,0.517
beta_26[tox21-pgc-err-p1],0.415,0.057,0.322,0.525
beta_26[tox21-nfkb-bla-agonist-p1],0.395,0.06,0.295,0.519
beta_26[tox21-pr-bla-agonist-p1],0.397,0.061,0.292,0.517
beta_26[tox21-ar-mda-kb2-luc-antagonist-p2],0.397,0.06,0.295,0.521
beta_26[tox21-fxr-bla-agonist-p2],0.407,0.062,0.3,0.528
beta_26[tox21-mitotox-p1],0.408,0.058,0.316,0.519
beta_26[tox21-ror-cho-antagonist-p1],0.411,0.056,0.324,0.523
beta_26[tox21-gh3-tre-antagonist-p1],0.405,0.059,0.307,0.513
beta_26[tox21-vdr-bla-agonist-p1],0.404,0.058,0.306,0.512
beta_26[tox21-sbe-bla-antagonist-p1],0.404,0.059,0.305,0.52
beta_26[tox21-aromatase-p1],0.408,0.059,0.315,0.518
beta_26[tox21-h2ax-cho-p2],0.392,0.062,0.286,0.516
beta_26[tox21-erb-bla-p1],0.409,0.063,0.302,0.531
beta_26[tox21-shh-3t3-gli3-antagonist-p1],0.407,0.059,0.304,0.514
beta_26[tox21-rxr-bla-agonist-p1],0.405,0.057,0.308,0.517
beta_26[tox21-pr-bla-antagonist-p1],0.405,0.057,0.299,0.51
beta_26[tox21-ahr-p1],0.406,0.057,0.307,0.518
beta_26[tox21-rt-viability-hepg2-p1],0.414,0.064,0.298,0.527
beta_26[tox21-er-luc-bg1-4e2-antagonist-p2],0.41,0.058,0.312,0.526
beta_26[tox21-esre-bla-p1],0.405,0.059,0.305,0.518
beta_26[tox21-err-p1],0.411,0.059,0.325,0.539
beta_26[tox21-hse-bla-p1],0.412,0.056,0.32,0.524
beta_26[tox21-vdr-bla-antagonist-p1],0.4,0.056,0.319,0.522
beta_26[tox21-sbe-bla-agonist-p1],0.398,0.06,0.297,0.523
beta_26[tox21-fxr-bla-antagonist-p1],0.401,0.06,0.303,0.523
beta_26[tox21-hdac-p1],0.405,0.057,0.309,0.522
beta_26[tox21-er-luc-bg1-4e2-agonist-p4],0.407,0.057,0.305,0.512
beta_26[tox21-car-antagonist-p1],0.401,0.061,0.298,0.519
beta_26[tox21-are-bla-p1],0.407,0.061,0.307,0.525
beta_26[tox21-dt40-p1_657],0.415,0.058,0.324,0.53
beta_26[tox21-rar-antagonist-p2],0.407,0.056,0.308,0.513
beta_26[tox21-dt40-p1_100],0.409,0.059,0.311,0.524
beta_26[tox21-dt40-p1_653],0.405,0.06,0.296,0.513
beta_26[tox21-gr-hela-bla-antagonist-p1],0.41,0.061,0.307,0.526
beta_26[tox21-ppard-bla-antagonist-p1],0.402,0.058,0.31,0.519
beta_26[tox21-er-luc-bg1-4e2-antagonist-p1],0.405,0.058,0.306,0.511
beta_27[tox21-elg1-luc-agonist-p1],0.425,0.054,0.326,0.531
beta_27[tox21-ar-bla-antagonist-p1],0.421,0.058,0.308,0.522
beta_27[tox21-rt-viability-hek293-p1],0.419,0.054,0.321,0.524
beta_27[tox21-shh-3t3-gli3-agonist-p1],0.42,0.055,0.321,0.521
beta_27[tox21-ppard-bla-agonist-p1],0.388,0.062,0.269,0.494
beta_27[tox21-ar-mda-kb2-luc-agonist-p3],0.407,0.054,0.31,0.518
beta_27[tox21-er-bla-antagonist-p1],0.433,0.059,0.331,0.552
beta_27[tox21-p53-bla-p1],0.411,0.064,0.298,0.531
beta_27[tox21-car-agonist-p1],0.418,0.053,0.315,0.509
beta_27[tox21-erb-bla-antagonist-p1],0.409,0.064,0.286,0.525
beta_27[tox21-ar-mda-kb2-luc-antagonist-p1],0.393,0.056,0.305,0.508
beta_27[tox21-pparg-bla-antagonist-p1],0.446,0.068,0.33,0.568
beta_27[tox21-ap1-agonist-p1],0.413,0.054,0.318,0.517
beta_27[tox21-hre-bla-agonist-p1],0.407,0.056,0.317,0.521
beta_27[tox21-pgc-err-p1],0.401,0.059,0.284,0.498
beta_27[tox21-nfkb-bla-agonist-p1],0.413,0.053,0.326,0.524
beta_27[tox21-pr-bla-agonist-p1],0.419,0.059,0.326,0.532
beta_27[tox21-ar-mda-kb2-luc-antagonist-p2],0.423,0.052,0.321,0.521
beta_27[tox21-fxr-bla-agonist-p2],0.406,0.058,0.307,0.505
beta_27[tox21-mitotox-p1],0.417,0.054,0.314,0.514
beta_27[tox21-ror-cho-antagonist-p1],0.422,0.069,0.297,0.573
beta_27[tox21-gh3-tre-antagonist-p1],0.425,0.058,0.323,0.537
beta_27[tox21-vdr-bla-agonist-p1],0.393,0.057,0.29,0.508
beta_27[tox21-sbe-bla-antagonist-p1],0.411,0.057,0.296,0.509
beta_27[tox21-aromatase-p1],0.395,0.062,0.3,0.508
beta_27[tox21-h2ax-cho-p2],0.431,0.053,0.327,0.531
beta_27[tox21-erb-bla-p1],0.428,0.059,0.324,0.543
beta_27[tox21-shh-3t3-gli3-antagonist-p1],0.429,0.056,0.33,0.534
beta_27[tox21-rxr-bla-agonist-p1],0.412,0.066,0.273,0.531
beta_27[tox21-pr-bla-antagonist-p1],0.403,0.053,0.316,0.505
beta_27[tox21-ahr-p1],0.41,0.054,0.304,0.512
beta_27[tox21-rt-viability-hepg2-p1],0.417,0.05,0.332,0.53
beta_27[tox21-er-luc-bg1-4e2-antagonist-p2],0.433,0.061,0.316,0.54
beta_27[tox21-esre-bla-p1],0.421,0.054,0.313,0.516
beta_27[tox21-err-p1],0.407,0.056,0.315,0.516
beta_27[tox21-hse-bla-p1],0.412,0.054,0.323,0.525
beta_27[tox21-vdr-bla-antagonist-p1],0.429,0.054,0.326,0.525
beta_27[tox21-sbe-bla-agonist-p1],0.432,0.059,0.33,0.538
beta_27[tox21-fxr-bla-antagonist-p1],0.416,0.059,0.307,0.531
beta_27[tox21-hdac-p1],0.424,0.06,0.319,0.536
beta_27[tox21-er-luc-bg1-4e2-agonist-p4],0.42,0.062,0.329,0.553
beta_27[tox21-car-antagonist-p1],0.412,0.053,0.314,0.513
beta_27[tox21-are-bla-p1],0.424,0.061,0.326,0.545
beta_27[tox21-dt40-p1_657],0.398,0.055,0.296,0.508
beta_27[tox21-rar-antagonist-p2],0.41,0.06,0.311,0.525
beta_27[tox21-dt40-p1_100],0.394,0.055,0.295,0.506
beta_27[tox21-dt40-p1_653],0.409,0.05,0.317,0.513
beta_27[tox21-gr-hela-bla-antagonist-p1],0.404,0.059,0.312,0.512
beta_27[tox21-ppard-bla-antagonist-p1],0.406,0.05,0.313,0.503
beta_27[tox21-er-luc-bg1-4e2-antagonist-p1],0.4,0.053,0.309,0.517
beta_28[tox21-elg1-luc-agonist-p1],0.192,0.043,0.11,0.273
beta_28[tox21-ar-bla-antagonist-p1],0.195,0.042,0.119,0.28
beta_28[tox21-rt-viability-hek293-p1],0.2,0.043,0.106,0.278
beta_28[tox21-shh-3t3-gli3-agonist-p1],0.188,0.042,0.112,0.276
beta_28[tox21-ppard-bla-agonist-p1],0.196,0.041,0.127,0.287
beta_28[tox21-ar-mda-kb2-luc-agonist-p3],0.191,0.041,0.106,0.275
beta_28[tox21-er-bla-antagonist-p1],0.2,0.042,0.111,0.279
beta_28[tox21-p53-bla-p1],0.19,0.041,0.114,0.272
beta_28[tox21-car-agonist-p1],0.193,0.041,0.101,0.268
beta_28[tox21-erb-bla-antagonist-p1],0.21,0.044,0.136,0.305
beta_28[tox21-ar-mda-kb2-luc-antagonist-p1],0.191,0.041,0.116,0.276
beta_28[tox21-pparg-bla-antagonist-p1],0.196,0.042,0.114,0.276
beta_28[tox21-ap1-agonist-p1],0.19,0.041,0.113,0.275
beta_28[tox21-hre-bla-agonist-p1],0.198,0.042,0.119,0.277
beta_28[tox21-pgc-err-p1],0.184,0.044,0.093,0.267
beta_28[tox21-nfkb-bla-agonist-p1],0.192,0.041,0.119,0.281
beta_28[tox21-pr-bla-agonist-p1],0.2,0.04,0.122,0.278
beta_28[tox21-ar-mda-kb2-luc-antagonist-p2],0.194,0.041,0.112,0.271
beta_28[tox21-fxr-bla-agonist-p2],0.202,0.042,0.117,0.282
beta_28[tox21-mitotox-p1],0.199,0.042,0.103,0.272
beta_28[tox21-ror-cho-antagonist-p1],0.194,0.04,0.112,0.272
beta_28[tox21-gh3-tre-antagonist-p1],0.21,0.043,0.131,0.294
beta_28[tox21-vdr-bla-agonist-p1],0.204,0.041,0.129,0.285
beta_28[tox21-sbe-bla-antagonist-p1],0.185,0.042,0.104,0.275
beta_28[tox21-aromatase-p1],0.189,0.04,0.108,0.264
beta_28[tox21-h2ax-cho-p2],0.198,0.045,0.095,0.272
beta_28[tox21-erb-bla-p1],0.212,0.043,0.138,0.302
beta_28[tox21-shh-3t3-gli3-antagonist-p1],0.2,0.044,0.117,0.288
beta_28[tox21-rxr-bla-agonist-p1],0.204,0.041,0.13,0.288
beta_28[tox21-pr-bla-antagonist-p1],0.204,0.041,0.124,0.287
beta_28[tox21-ahr-p1],0.202,0.042,0.119,0.282
beta_28[tox21-rt-viability-hepg2-p1],0.197,0.043,0.111,0.283
beta_28[tox21-er-luc-bg1-4e2-antagonist-p2],0.196,0.041,0.118,0.279
beta_28[tox21-esre-bla-p1],0.19,0.042,0.109,0.271
beta_28[tox21-err-p1],0.196,0.042,0.104,0.272
beta_28[tox21-hse-bla-p1],0.192,0.039,0.12,0.275
beta_28[tox21-vdr-bla-antagonist-p1],0.196,0.041,0.122,0.281
beta_28[tox21-sbe-bla-agonist-p1],0.197,0.041,0.12,0.28
beta_28[tox21-fxr-bla-antagonist-p1],0.195,0.041,0.123,0.282
beta_28[tox21-hdac-p1],0.196,0.039,0.123,0.274
beta_28[tox21-er-luc-bg1-4e2-agonist-p4],0.192,0.041,0.112,0.269
beta_28[tox21-car-antagonist-p1],0.193,0.04,0.114,0.275
beta_28[tox21-are-bla-p1],0.2,0.039,0.126,0.278
beta_28[tox21-dt40-p1_657],0.198,0.039,0.127,0.281
beta_28[tox21-rar-antagonist-p2],0.189,0.041,0.104,0.263
beta_28[tox21-dt40-p1_100],0.193,0.04,0.12,0.272
beta_28[tox21-dt40-p1_653],0.2,0.04,0.122,0.283
beta_28[tox21-gr-hela-bla-antagonist-p1],0.195,0.041,0.11,0.271
beta_28[tox21-ppard-bla-antagonist-p1],0.197,0.04,0.119,0.272
beta_28[tox21-er-luc-bg1-4e2-antagonist-p1],0.19,0.043,0.109,0.272
beta_29[tox21-elg1-luc-agonist-p1],0.329,0.06,0.211,0.429
beta_29[tox21-ar-bla-antagonist-p1],0.346,0.051,0.25,0.448
beta_29[tox21-rt-viability-hek293-p1],0.331,0.056,0.208,0.425
beta_29[tox21-shh-3t3-gli3-agonist-p1],0.356,0.055,0.249,0.462
beta_29[tox21-ppard-bla-agonist-p1],0.353,0.057,0.244,0.461
beta_29[tox21-ar-mda-kb2-luc-agonist-p3],0.367,0.062,0.263,0.479
beta_29[tox21-er-bla-antagonist-p1],0.333,0.057,0.236,0.438
beta_29[tox21-p53-bla-p1],0.349,0.06,0.235,0.465
beta_29[tox21-car-agonist-p1],0.352,0.059,0.238,0.455
beta_29[tox21-erb-bla-antagonist-p1],0.334,0.058,0.24,0.453
beta_29[tox21-ar-mda-kb2-luc-antagonist-p1],0.346,0.052,0.245,0.437
beta_29[tox21-pparg-bla-antagonist-p1],0.36,0.065,0.223,0.471
beta_29[tox21-ap1-agonist-p1],0.341,0.059,0.206,0.446
beta_29[tox21-hre-bla-agonist-p1],0.343,0.059,0.217,0.444
beta_29[tox21-pgc-err-p1],0.355,0.06,0.235,0.467
beta_29[tox21-nfkb-bla-agonist-p1],0.359,0.059,0.254,0.48
beta_29[tox21-pr-bla-agonist-p1],0.347,0.05,0.253,0.444
beta_29[tox21-ar-mda-kb2-luc-antagonist-p2],0.348,0.048,0.265,0.444
beta_29[tox21-fxr-bla-agonist-p2],0.34,0.068,0.194,0.453
beta_29[tox21-mitotox-p1],0.334,0.06,0.196,0.421
beta_29[tox21-ror-cho-antagonist-p1],0.341,0.051,0.238,0.433
beta_29[tox21-gh3-tre-antagonist-p1],0.347,0.047,0.264,0.446
beta_29[tox21-vdr-bla-agonist-p1],0.358,0.054,0.262,0.46
beta_29[tox21-sbe-bla-antagonist-p1],0.347,0.058,0.23,0.455
beta_29[tox21-aromatase-p1],0.345,0.055,0.248,0.444
beta_29[tox21-h2ax-cho-p2],0.349,0.06,0.238,0.465
beta_29[tox21-erb-bla-p1],0.351,0.063,0.232,0.475
beta_29[tox21-shh-3t3-gli3-antagonist-p1],0.343,0.057,0.24,0.456
beta_29[tox21-rxr-bla-agonist-p1],0.345,0.057,0.238,0.454
beta_29[tox21-pr-bla-antagonist-p1],0.35,0.049,0.261,0.441
beta_29[tox21-ahr-p1],0.333,0.056,0.214,0.429
beta_29[tox21-rt-viability-hepg2-p1],0.34,0.063,0.197,0.444
beta_29[tox21-er-luc-bg1-4e2-antagonist-p2],0.335,0.052,0.229,0.42
beta_29[tox21-esre-bla-p1],0.343,0.062,0.202,0.442
beta_29[tox21-err-p1],0.356,0.059,0.246,0.462
beta_29[tox21-hse-bla-p1],0.357,0.061,0.238,0.472
beta_29[tox21-vdr-bla-antagonist-p1],0.358,0.059,0.254,0.471
beta_29[tox21-sbe-bla-agonist-p1],0.349,0.062,0.214,0.453
beta_29[tox21-fxr-bla-antagonist-p1],0.349,0.058,0.236,0.448
beta_29[tox21-hdac-p1],0.34,0.067,0.195,0.45
beta_29[tox21-er-luc-bg1-4e2-agonist-p4],0.36,0.063,0.257,0.507
beta_29[tox21-car-antagonist-p1],0.36,0.048,0.275,0.457
beta_29[tox21-are-bla-p1],0.336,0.056,0.222,0.431
beta_29[tox21-dt40-p1_657],0.343,0.058,0.216,0.447
beta_29[tox21-rar-antagonist-p2],0.338,0.06,0.223,0.456
beta_29[tox21-dt40-p1_100],0.332,0.056,0.231,0.434
beta_29[tox21-dt40-p1_653],0.333,0.056,0.24,0.436
beta_29[tox21-gr-hela-bla-antagonist-p1],0.349,0.052,0.255,0.449
beta_29[tox21-ppard-bla-antagonist-p1],0.338,0.055,0.235,0.438
beta_29[tox21-er-luc-bg1-4e2-antagonist-p1],0.366,0.067,0.253,0.504
beta_3[tox21-elg1-luc-agonist-p1],-0.685,0.284,-1.228,-0.329
beta_3[tox21-ar-bla-antagonist-p1],-0.686,0.285,-1.235,-0.329
beta_3[tox21-rt-viability-hek293-p1],-0.684,0.284,-1.225,-0.327
beta_3[tox21-shh-3t3-gli3-agonist-p1],-0.686,0.285,-1.225,-0.328
beta_3[tox21-ppard-bla-agonist-p1],-0.688,0.286,-1.222,-0.328
beta_3[tox21-ar-mda-kb2-luc-agonist-p3],-0.686,0.285,-1.223,-0.327
beta_3[tox21-er-bla-antagonist-p1],-0.693,0.288,-1.222,-0.327
beta_3[tox21-p53-bla-p1],-0.686,0.285,-1.227,-0.325
beta_3[tox21-car-agonist-p1],-0.683,0.284,-1.228,-0.324
beta_3[tox21-erb-bla-antagonist-p1],-0.69,0.288,-1.229,-0.327
beta_3[tox21-ar-mda-kb2-luc-antagonist-p1],-0.691,0.287,-1.227,-0.329
beta_3[tox21-pparg-bla-antagonist-p1],-0.688,0.286,-1.227,-0.329
beta_3[tox21-ap1-agonist-p1],-0.683,0.284,-1.223,-0.327
beta_3[tox21-hre-bla-agonist-p1],-0.685,0.284,-1.217,-0.326
beta_3[tox21-pgc-err-p1],-0.686,0.286,-1.231,-0.325
beta_3[tox21-nfkb-bla-agonist-p1],-0.686,0.285,-1.225,-0.328
beta_3[tox21-pr-bla-agonist-p1],-0.689,0.287,-1.229,-0.329
beta_3[tox21-ar-mda-kb2-luc-antagonist-p2],-0.683,0.284,-1.221,-0.327
beta_3[tox21-fxr-bla-agonist-p2],-0.688,0.286,-1.228,-0.329
beta_3[tox21-mitotox-p1],-0.684,0.285,-1.232,-0.326
beta_3[tox21-ror-cho-antagonist-p1],-0.688,0.287,-1.23,-0.325
beta_3[tox21-gh3-tre-antagonist-p1],-0.685,0.285,-1.228,-0.325
beta_3[tox21-vdr-bla-agonist-p1],-0.687,0.286,-1.225,-0.328
beta_3[tox21-sbe-bla-antagonist-p1],-0.685,0.284,-1.223,-0.328
beta_3[tox21-aromatase-p1],-0.686,0.285,-1.226,-0.325
beta_3[tox21-h2ax-cho-p2],-0.686,0.285,-1.221,-0.329
beta_3[tox21-erb-bla-p1],-0.688,0.286,-1.232,-0.328
beta_3[tox21-shh-3t3-gli3-antagonist-p1],-0.686,0.285,-1.229,-0.329
beta_3[tox21-rxr-bla-agonist-p1],-0.684,0.283,-1.216,-0.327
beta_3[tox21-pr-bla-antagonist-p1],-0.687,0.286,-1.228,-0.327
beta_3[tox21-ahr-p1],-0.686,0.285,-1.218,-0.326
beta_3[tox21-rt-viability-hepg2-p1],-0.689,0.287,-1.233,-0.325
beta_3[tox21-er-luc-bg1-4e2-antagonist-p2],-0.687,0.285,-1.222,-0.326
beta_3[tox21-esre-bla-p1],-0.691,0.287,-1.23,-0.329
beta_3[tox21-err-p1],-0.683,0.283,-1.227,-0.329
beta_3[tox21-hse-bla-p1],-0.685,0.285,-1.231,-0.327
beta_3[tox21-vdr-bla-antagonist-p1],-0.686,0.285,-1.23,-0.328
beta_3[tox21-sbe-bla-agonist-p1],-0.687,0.285,-1.221,-0.327
beta_3[tox21-fxr-bla-antagonist-p1],-0.693,0.289,-1.244,-0.328
beta_3[tox21-hdac-p1],-0.69,0.287,-1.229,-0.328
beta_3[tox21-er-luc-bg1-4e2-agonist-p4],-0.686,0.286,-1.227,-0.327
beta_3[tox21-car-antagonist-p1],-0.683,0.284,-1.227,-0.329
beta_3[tox21-are-bla-p1],-0.685,0.284,-1.219,-0.326
beta_3[tox21-dt40-p1_657],-0.691,0.288,-1.235,-0.328
beta_3[tox21-rar-antagonist-p2],-0.686,0.286,-1.227,-0.329
beta_3[tox21-dt40-p1_100],-0.683,0.284,-1.23,-0.327
beta_3[tox21-dt40-p1_653],-0.684,0.284,-1.221,-0.328
beta_3[tox21-gr-hela-bla-antagonist-p1],-0.688,0.286,-1.227,-0.323
beta_3[tox21-ppard-bla-antagonist-p1],-0.688,0.287,-1.244,-0.331
beta_3[tox21-er-luc-bg1-4e2-antagonist-p1],-0.684,0.284,-1.223,-0.328
beta_30[tox21-elg1-luc-agonist-p1],0.208,0.034,0.143,0.273
beta_30[tox21-ar-bla-antagonist-p1],0.208,0.034,0.143,0.271
beta_30[tox21-rt-viability-hek293-p1],0.203,0.036,0.133,0.267
beta_30[tox21-shh-3t3-gli3-agonist-p1],0.214,0.034,0.141,0.268
beta_30[tox21-ppard-bla-agonist-p1],0.218,0.035,0.154,0.282
beta_30[tox21-ar-mda-kb2-luc-agonist-p3],0.209,0.033,0.147,0.274
beta_30[tox21-er-bla-antagonist-p1],0.217,0.034,0.15,0.275
beta_30[tox21-p53-bla-p1],0.217,0.036,0.151,0.286
beta_30[tox21-car-agonist-p1],0.214,0.035,0.148,0.281
beta_30[tox21-erb-bla-antagonist-p1],0.209,0.035,0.143,0.271
beta_30[tox21-ar-mda-kb2-luc-antagonist-p1],0.2,0.038,0.132,0.265
beta_30[tox21-pparg-bla-antagonist-p1],0.198,0.035,0.132,0.262
beta_30[tox21-ap1-agonist-p1],0.208,0.034,0.136,0.27
beta_30[tox21-hre-bla-agonist-p1],0.207,0.033,0.15,0.27
beta_30[tox21-pgc-err-p1],0.209,0.033,0.145,0.268
beta_30[tox21-nfkb-bla-agonist-p1],0.211,0.034,0.141,0.266
beta_30[tox21-pr-bla-agonist-p1],0.199,0.036,0.134,0.264
beta_30[tox21-ar-mda-kb2-luc-antagonist-p2],0.217,0.033,0.154,0.28
beta_30[tox21-fxr-bla-agonist-p2],0.216,0.036,0.145,0.275
beta_30[tox21-mitotox-p1],0.208,0.035,0.142,0.27
beta_30[tox21-ror-cho-antagonist-p1],0.209,0.033,0.145,0.271
beta_30[tox21-gh3-tre-antagonist-p1],0.206,0.034,0.138,0.261
beta_30[tox21-vdr-bla-agonist-p1],0.212,0.033,0.145,0.267
beta_30[tox21-sbe-bla-antagonist-p1],0.205,0.034,0.141,0.273
beta_30[tox21-aromatase-p1],0.211,0.035,0.145,0.276
beta_30[tox21-h2ax-cho-p2],0.207,0.034,0.143,0.276
beta_30[tox21-erb-bla-p1],0.206,0.037,0.136,0.268
beta_30[tox21-shh-3t3-gli3-antagonist-p1],0.207,0.033,0.143,0.264
beta_30[tox21-rxr-bla-agonist-p1],0.215,0.034,0.15,0.277
beta_30[tox21-pr-bla-antagonist-p1],0.211,0.034,0.147,0.273
beta_30[tox21-ahr-p1],0.205,0.035,0.139,0.268
beta_30[tox21-rt-viability-hepg2-p1],0.223,0.036,0.155,0.291
beta_30[tox21-er-luc-bg1-4e2-antagonist-p2],0.216,0.034,0.15,0.279
beta_30[tox21-esre-bla-p1],0.214,0.036,0.146,0.283
beta_30[tox21-err-p1],0.214,0.033,0.146,0.271
beta_30[tox21-hse-bla-p1],0.212,0.036,0.147,0.278
beta_30[tox21-vdr-bla-antagonist-p1],0.205,0.034,0.138,0.263
beta_30[tox21-sbe-bla-agonist-p1],0.207,0.034,0.142,0.269
beta_30[tox21-fxr-bla-antagonist-p1],0.21,0.034,0.142,0.27
beta_30[tox21-hdac-p1],0.215,0.034,0.152,0.28
beta_30[tox21-er-luc-bg1-4e2-agonist-p4],0.216,0.038,0.141,0.298
beta_30[tox21-car-antagonist-p1],0.216,0.034,0.153,0.276
beta_30[tox21-are-bla-p1],0.221,0.037,0.153,0.29
beta_30[tox21-dt40-p1_657],0.203,0.034,0.139,0.266
beta_30[tox21-rar-antagonist-p2],0.192,0.04,0.113,0.255
beta_30[tox21-dt40-p1_100],0.211,0.034,0.145,0.265
beta_30[tox21-dt40-p1_653],0.211,0.037,0.143,0.279
beta_30[tox21-gr-hela-bla-antagonist-p1],0.216,0.035,0.15,0.285
beta_30[tox21-ppard-bla-antagonist-p1],0.219,0.036,0.149,0.279
beta_30[tox21-er-luc-bg1-4e2-antagonist-p1],0.21,0.034,0.149,0.273
beta_31[tox21-elg1-luc-agonist-p1],-0.457,0.04,-0.532,-0.383
beta_31[tox21-ar-bla-antagonist-p1],-0.455,0.04,-0.542,-0.391
beta_31[tox21-rt-viability-hek293-p1],-0.451,0.038,-0.525,-0.378
